Title	Creator	Language	Contributor	Type	Form	Genre	Subject	OriginPlace	Identifier	DateNote	Date1Code	Date2Code	Location	BoxFolder	Collection	Series	Subseries	CreatorType	CreatorRole	ContributorType	ContributorRole	SubjectType	Publisher	Extent	Notes
Greatest American Writer : notes regarding Mark Twain, 26 January 1924 : autograph manuscript	Harrison, Hub. H.	French		Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Twain, Mark, 1835-1910	New York City	hubert_h_harrison_papers_079	26 January 1924	01/26/1924		Rare Book & Manuscript Library, Columbia University	Box 4, Folder 64	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			personal		1 item (3 pages)	
History and Forecast of the Disarmament Movement : Board of Education lecture / by Hubert H. Harrison, at the Public Library, 16 November 1924 : autograph manuscript notes	Harrison, Hubert H.	Spanish	New York (N.Y.). Board of Education;New York Public Library.	Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Disarmament;Renunciation of war;League of Nations	Nyu-York	hubert_h_harrison_papers_080	16 November 1924	11/16/1924		Rare Book & Manuscript Library, Columbia University	Box 4, Folder 69	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author	corporate;corporate	Sponsor;Host institution	topical;topical;corporate		1 item (3 columns)	
Immigration and the Negro, undated : autograph manuscript notes	Harrison, Hubert H.	German		text  	manuscripts (documents)	autographs (manuscripts);notes (documents)	Emigration and immigration;African Americans;United States	Brooklyn, N.Y.	hubert_h_harrison_papers_081	1893-1927	1893	1927	Rare Book & Manuscript Library, Columbia University	Box 5, Folder 1	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;geographic		1 item (leaf 2 only)	Page 2 only;Date inferred from inclusive dates of archival collection
Imperialist America : review of The American Empire by Scott Nearing, circa 30 April 1921 : typed manuscript	Harrison, Hubert	English		  text	manuscripts (documents)	reviews (documents);typescripts	United States.;Nearing, Scott, 1883-1983. American Empire	Brooklyn, NY	hubert_h_harrison_papers_083	circa 30 April 1921	04/30/1921		Arthur W. Diamond Law Library, Columbia University	Box 5, Folder 3	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Reviewer			geographic;title		1 item (3 pages)	
Is the Housing Problem Still With Us? 23 January 1926 : autograph manuscript notes	Harrison, H. H.	English		Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Housing;United States	Brooklyn, L.I.	hubert_h_harrison_papers_085	23 January 1926	01/23/1926		Augustus C. Long Health Sciences Library, Columbia University	Box 5, Folder 6	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;geographic		1 item (2 pages)	
League of Nations and the Present European Crisis, 18 November 1923 : autograph manuscript notes	Harrison, H.H.	English		txt	manuscripts (documents)	autographs (manuscripts);notes (documents)	Depressions;League of Nations.;Europe	Brooklyn, New York	hubert_h_harrison_papers_087	18 November 1923	11/18/1923		Avery Architectural and Fine Arts Library, Columbia University	Box 5, Folder 8	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;corporate;geographic		1 item (2 pages)	
Liberty League Demands for New York City, August 1921 : autograph manuscript notes	Harrison, HH	English	Liberty League of Negro-Americans (New York, N.Y.).	rext	manuscripts (documents)	autographs (manuscripts);notes (documents)	African Americans--Civil rights;Liberty League of Negro-Americans (New York, N.Y.);New York (N.Y.)	Harlem, New York	hubert_h_harrison_papers_088	August 1921	1921-08		Barnard College Library	Box 5, Folder 10	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author	corporate	Contributor	topical;corporate;geographic		1 item (2 pages)	
Lincoln and Liberty : research notes from books by Blaine (vol. 1 chap. XII; 20 years) and Elson (History of U.S.), undated : autograph manuscript	Harrison, Hubert H.	English		text.	manuscripts (documents)	autographs (manuscripts);notes (documents)	Race relations--Political aspects;Slavery--Political aspects;Lincoln, Abraham, 1809-1865.;Republican Party (U.S. : 1854- );Elson, Henry W. (Henry William), 1857-1935;Blaine, James Gillespie, 1830-1893	Harlem, N.Y.	hubert_h_harrison_papers_092	1893-1927	1893	1927	Burke Library at Union Theological Seminary, Columbia University	Box 5, Folder 13	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;personal;corporate;personal;personal		2 items (7 leaves)	Date inferred from inclusive dates of archival collection
Literary Notes : notes regarding Fenton Johnson, undated : autograph manuscript	Harrison, Hubrt H.	English		t@!xt	manuscripts (documents)	autographs (manuscripts);notes (documents)	Johnson, Fenton, 1888-1958	Harlem, New York, N.Y.	hubert_h_harrison_papers_093	1893-1927	1893	1927	Butler Library, Columbia University	Box 5, Folder 14	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			personal		1 item (1 leaf)	Date inferred from inclusive dates of archival collection
Marcus Garvey at the Bar of United States Justice : article, July 1923 : typed manuscript	Harison, Hubert H.	English		Text	manuscripts (documents)	articles;typescripts	Trials (Fraud);Mail fraud;Garvey, Marcus, 1887-1940.	Harlem, New York City	hubert_h_harrison_papers_095	July 1923	1923-07		C.V. Starr East Asian Library, Columbia University	Box 5, Folder 16	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;personal		1 item (pages 2, 3, and 4)	Pages 2, 3, and 4 only
Memoranda: The Control of Negro Sentiment, 1922 : autograph manuscript notes	Harrison, Hub. H.	English		Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	African Americans;Public opinion	New York City, N.Y.	hubert_h_harrison_papers_097	1922	1922		Gabe M. Weiner Music & Arts Library, Columbia University	Box 5, Folder 20	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical		1 item (3 pages)	
Modern Medicine Man : review of The History of Witchcraft and Demonology by Montague Summers, undated : autograph manuscript	Harrison, Hubert H.	French		text  	manuscripts (documents)	reviews (documents);autographs (manuscripts)	Summers, Montague, 1880-1948. A history of witchcraft and demonology	Harlem, NY	hubert_h_harrison_papers_099	1893-1927	1893	1927	Business & Economics Library, Columbia University	Box 5, Folder 24	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Reviewer			title		1 item (3 pages)	Date inferred from inclusive dates of archival collection
Mr. Barker : essay, circa 1910 : autograph manuscript	Harrison, Hubert H.	Spanish		  text	manuscripts (documents)	essays;autographs (manuscripts)	Barker, J. Ellis, 1870-1948	Harlem, NYC	hubert_h_harrison_papers_100	circa 1910 ?	1910		Lehman Social Sciences Library, Columbia University	Box 5, Folder 25	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			personal		1 item (pages 13-16)	Pages 13-16 only
Mr. Beer's Book : review, undated : autograph manuscript	Harrison, Hubert H.	German		Text	manuscripts (documents)	essays;autographs (manuscripts)	Beer, Thomas, 1889-1940	NYC	hubert_h_harrison_papers_020	1893-1927	1893	1927	Jewish Theological Seminary Library	Box 5, Folder 26	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Reviewer			personal		1 item (2 pages)	Date inferred from inclusive dates of archival collection
Negro Actor on Broadway: A Critical Interpretation by a Negro Critic : article, 4 June 1923 : autograph manuscript, signed, with note	Harrison, Hubert	English		txt	manuscripts (documents)	articles;autographs (manuscripts)	African American actors;Theater;Richardson, Willis, 1889-1977. Chip woman's fortune;Wilde, Oscar, 1854-1900. Salomé	Brooklyn, NYC	hubert_h_harrison_papers_102	4 June 1923	06/04/1923		Journalism Library, Columbia University	Box 5, Folder 27	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;title;title		1 item (8 pages)	Written after a dinner table discussion on Negro actors with Theodore Dreiser, Ludwig Lewisohn, H.L. Mencken and others at the Hotel Brevoort--Reported in the Tribune [NY] by Burton Rascoe June 4th 1923 New York World;With note
Negro and the Nation : essay, 21 June 1923 : autograph manuscript	Harrison, H. H.	English		rext	manuscripts (documents)	essays;autographs (manuscripts)	African Americans;Race relations;United States.	Brooklyn, N.Y., N.Y.	hubert_h_harrison_papers_020	21 June 1923	06/21/1923		Mathematics Library, Columbia University	Box 5, Folder 28	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;geographic		1 item (9 pages)	
Negro Fiction, undated : autograph manuscript notes	Harrison, H.H.	English		text.	manuscripts (documents)	autographs (manuscripts);notes (documents)	African American authors;Fiction	New York, N.Y.?	hubert_h_harrison_papers_104	1893-1927	1893	1927	Science & Engineering Library, Columbia University	Box 5, Folder 30	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical		1 item (1 leaf)	Date inferred from inclusive dates of archival collection
Notes on dialect, undated : 6 autograph manuscripts, notes	Harrison, HH	English		t@!xt	manuscripts (documents)	autographs (manuscripts);notes (documents)	English language--Dialects;Black English	New York, N.Y.	hubert_h_harrison_papers_107	1893-1927	1893	1927	Social Work Library, Columbia University	Box 5, Folder 40	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical		6 items (12 pages)	Date inferred from inclusive dates of archival collection
Oil by Upton Sinclair : review, undated : autograph manuscript	Harrison, Hubert H.	English		Text	manuscripts (documents)	reviews (documents);autographs (manuscripts)	Sinclair, Upton, 1878-1968. Oil! (Novel)	New York, NY	hubert_h_harrison_papers_108	1893-1927	1893	1927	Teachers College Library	Box 5, Folder 44	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Reviewer			title		1 item (2 pages)	Date inferred from inclusive dates of archival collection
On a Neuter Tendency in Names : essay : autograph manuscript and typescript	Harrison, Hubrt H.	English		Text	manuscripts (documents)	essays;autographs (manuscripts)	Names, Personal;English language--Sex differences;Language and sex	NY, NY	hubert_h_harrison_papers_109	1893-1927	1893	1927	Rare Book & Manuscript Library, Columbia University	Box 5, Folder 45	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;topical		2 items (5, 1 pages)	Date inferred from inclusive dates of archival collection
On Praise, 8 April 1920 : autograph manuscript	Harison, Hubert H.	English		text  	manuscripts (documents)	autographs (manuscripts)	Praise	N.Y., N.Y.	hubert_h_harrison_papers_111	8 April 1920	04/08/1920		Rare Book & Manuscript Library, Columbia University	Box 5, Folder 46	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (4 pages)	2 pages
Our Minds and How They Work, undated : autograph manuscript notes	Harrison, Hub. H.	English		  text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Psychology	Nueva York	hubert_h_harrison_papers_118	1893-1927	1893	1927	Rare Book & Manuscript Library, Columbia University	Box 5, Folder 48	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (2 pages)	Date inferred from inclusive dates of archival collection
Population statistics, circa December 16, 1921 : autograph manuscript notes on envelope	Harrison, Hubert H.	English		Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Population--Statistics	New York City	hubert_h_harrison_papers_119	circa 16 December 1921	12/16/1921		Rare Book & Manuscript Library, Columbia University	Box 5, Folder 54	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (2 pages)	
Quotations from pamphlet by Henry Lincoln Johnson, 10 June 1924 : autograph manuscript notes	Johnson, Henry Lincoln	French	Harrison, Hubert H..	text	manuscripts (documents)	autographs (manuscripts);notes (documents)		New York, N.Y.?	hubert_h_harrison_papers_122	10 June 1924	06/10/1924		Rare Book & Manuscript Library, Columbia University	Box 5, Folder 58	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author	personal	Transcriber			1 item (2 pages)	
Race and the Social Sciences, circa 12 November 1927? : autograph manuscript notes	Harrison, Hubert H.	English		txt	manuscripts (documents)	autographs (manuscripts);notes (documents)	Race;Social sciences	Nyu-York	hubert_h_harrison_papers_123	circa 12 November 1927?	11/12/1927		Arthur W. Diamond Law Library, Columbia University	Box 6, Folder 1	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical		1 item (2 pages)	
Real Negro Problem : essay (unpublished), undated : typed manuscript	Harrison, Hubert H.	English		rext	manuscripts (documents)	essays;typescripts	African Americans;Race relations.;United States.	Brooklyn, N.Y.	hubert_h_harrison_papers_124	1893-1927	1893	1927	Augustus C. Long Health Sciences Library, Columbia University	Box 6, Folder 5	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;geographic		1 item (25 pages)	Date inferred from inclusive dates of archival collection
Record of the 68th Congress and Problems of the 69th, March 1924? : autograph manuscript notes, signed	Harrison, Hubert	English		text.	manuscripts (documents)	autographs (manuscripts);notes (documents)	United States. Congress	Brooklyn, NY	hubert_h_harrison_papers_125	March 1924?	1924-03		Avery Architectural and Fine Arts Library, Columbia University	Box 6, Folder 6	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			corporate		1 item (3 pages)	
Red Record of Radicalism, circa 1927 : autograph manuscript notes	Harrison, H. H.	English		t@!xt	manuscripts (documents)	autographs (manuscripts);notes (documents)	Radicalism	Brooklyn, L.I.	hubert_h_harrison_papers_126	circa 1927	1927		Barnard College Library	Box 6, Folder 7	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (2 pages)	
Religion, undated : autograph manuscript notes	Harrison, H.H.	English		Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Religion	Brooklyn, New York	hubert_h_harrison_papers_127	1893-1927	1893	1927	Burke Library at Union Theological Seminary, Columbia University	Box 6, Folder 8	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (leaf 2 only)	Date inferred from inclusive dates of archival collection
Rent and Housing Situation, 20 January 1924 : autograph manuscript notes	Harrison, HH	English		Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Rental housing;Landlord and tenant	Harlem, New York	hubert_h_harrison_papers_128	20 January 1924	01/20/1924		Butler Library, Columbia University	Box 6, Folder 10	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical		1 item (2 pages)	
Review : notes regarding The History of Witchcraft and Demonology by Montague Summers, undated : autograph manuscript	Harrison, Hubert H.	French		text  	manuscripts (documents)	reviews (documents);autographs (manuscripts)	Summers, Montague, 1880-1948. A history of witchcraft and demonology	Harlem, N.Y.	hubert_h_harrison_papers_130	1893-1927	1893	1927	C.V. Starr East Asian Library, Columbia University	Box 6, Folder 12	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			title		1 item (2 pages)	Date inferred from inclusive dates of archival collection
Sense of Humor : review of book by Max Eastman, undated : clipping	Harrison, Hubrt H.	Spanish		  text	clippings (information artifacts)	reviews (documents)	Eastman, Max, 1883-1969. Sense of humor	New York, NY	hubert_h_harrison_papers_134	1893-1927	1893	1927	Gabe M. Weiner Music & Arts Library, Columbia University	Box 6, Folder 19	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Reviewer			title		1 item	Date inferred from inclusive dates of archival collection
Shaw's Plays and G.B.S. and the Art of the Preface, undated : autograph manuscript notes	Harison, Hubert H.	Spanish		Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Prefaces;Shaw, Bernard, 1856-1950.	Harlem, New York, N.Y.	hubert_h_harrison_papers_135	1893-1927	1893	1927	Business & Economics Library, Columbia University	Box 6, Folder 20	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;personal		1 item (2 pages)	Date inferred from inclusive dates of archival collection
Short Story : notes regarding $1000 bank note, 10 August 1918 : autograph manuscript	Harrison, Hub. H.	German		txt	manuscripts (documents)	autographs (manuscripts);notes (documents)	Bank notes;United States	Harlem, New York City	hubert_h_harrison_papers_136	10 August 1918	08/10/1918		Lehman Social Sciences Library, Columbia University	Box 6, Folder 21	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;geographic		1 item (1 leaf)	
Short Story : notes regarding $500 ring, undated : autograph manuscript	Harrison, Hubert H.	English		rext	manuscripts (documents)	autographs (manuscripts);notes (documents)	Rings	New York City, N.Y.	hubert_h_harrison_papers_137	1893-1927	1893	1927	Jewish Theological Seminary Library	Box 6, Folder 22	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (1 leaf)	Date inferred from inclusive dates of archival collection
Socialism, undated : autograph manuscript notes	Harrison, Hubert H.	English		text.	manuscripts (documents)	autographs (manuscripts);notes (documents)	Socialism	Harlem, NY	hubert_h_harrison_papers_140	1893-1927	1893	1927	Journalism Library, Columbia University	Box 6, Folder 26	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (1 leaf)	Date inferred from inclusive dates of archival collection
Some Reasons Why Such a Collection is Necessary, circa 1925 : autograph manuscript notes	Harrison, Hubert H.	English		t@!xt	manuscripts (documents)	autographs (manuscripts);notes (documents)	Libraries--Special collections--African Americans;African Americans and libraries;Schomburg Collection of Negro Literature and History	Harlem, NYC	hubert_h_harrison_papers_141	circa 1925	1925		Mathematics Library, Columbia University	Box 6, Folder 28	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;corporate		1 item (2 pages)	
South Africans by Sarah G. Millin : unpublished review, undated : autograph manuscript	Harrison, Hubert	English		Text	manuscripts (documents)	reviews (documents);autographs (manuscripts)	Millin, Sarah Gertrude, 1889-1968. South Africans	NYC	hubert_h_harrison_papers_142	1893-1927	1893	1927	Science & Engineering Library, Columbia University	Box 6, Folder 29	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Reviewer			title		1 item (1 leaf)	Date inferred from inclusive dates of archival collection
Summing Up Shaw : notes from Board of Education lecture regarding George Bernard Shaw, 26 April 1924 : autograph manuscript	Harrison, H. H.	English		Text	manuscripts (documents)	lectures;autographs (manuscripts)	Shaw, Bernard, 1856-1950.	Brooklyn, NYC	hubert_h_harrison_papers_147	26 April 1924	04/26/1924		Social Work Library, Columbia University	Box 6, Folder 35	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			personal		1 item (8 pages)	
United States Air Service : autograph letter signed on back ; Selections from Alexander Pope, 14 March 1925 : autograph manuscript notes	Harrison, H.H.	English		text  	manuscripts (documents)	autographs (manuscripts);notes (documents)	United States. Army. Air Service	Brooklyn, N.Y., N.Y.	hubert_h_harrison_papers_152	14 March 1925	03/14/1925		Teachers College Library	Box 6, Folder 46	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			corporate		1 item (1 leaf)	
Virgin Islands / by Hubert Harrison : essay (unpublished), November 1923? : autograph manuscript, signed and typed manuscript	Harrison, HH	English		  text	manuscripts (documents)	essays;autographs (manuscripts)	Imperialism;United States Virgin Islands	New York, N.Y.?	hubert_h_harrison_papers_154	November 1923 ?	1923-11		Rare Book & Manuscript Library, Columbia University	Box 6, Folder 48	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;geographic		2 items (19 pages, 2 leaves)	Sent to The Nation as The Virgin Islands: A Colonial Problem
West Indian in the United States, 30 March 1924 : autograph manuscript notes	Harrison, Hubert H.	English		Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	West Indians;United States.	New York, N.Y.?	hubert_h_harrison_papers_156	30 March 1924	03/30/1924		Rare Book & Manuscript Library, Columbia University	Box 6, Folder 52	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;geographic		1 item (1 leaf)	
What a Profound Literary Scholar Thinks of Pickens : book article, undated : typed manuscript	Harrison, Hubrt H.	English		txt	manuscripts (documents)	articles;typescripts	Pickens, William, 1881-1954	New York, N.Y.?	hubert_h_harrison_papers_157	1893-1927	1893	1927	Rare Book & Manuscript Library, Columbia University	Box 6, Folder 54	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			personal		1 item (1 leaf)	Date inferred from inclusive dates of archival collection
What Should Be the Immigration Policy of the U.S.A., 17 February 1924 and 30 November 1924 : autograph manuscript notes, signed	Harison, Hubert H.	English		rext	manuscripts (documents)	autographs (manuscripts);notes (documents)	Emigration and immigration--Government policy--Moral and ethical aspects;United States	New York, N.Y.?	hubert_h_harrison_papers_159	17 February 1924 and 30 November 1924	02/17/1924	11/30/1924	Rare Book & Manuscript Library, Columbia University	Box 6, Folder 56	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;geographic		1 item (2 leaves)	Page 2 wanting
White War and the Colored Races : article, undated : typed manuscript	Harrison, Hub. H.	English		text.	manuscripts (documents)	articles;typescripts	World War (1914-1918);Military campaigns;Imperialism;Africa;Asia	New York, N.Y.?	hubert_h_harrison_papers_161	1893-1927	1893	1927	Rare Book & Manuscript Library, Columbia University	Box 6, Folder 61	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;topical;geographic;geographic		1 item (4 pages)	Date inferred from inclusive dates of archival collection
